Customer_ID,Total_Rides,Customer_Segment
CUST_1000,3,Occasional
CUST_1001,3,Occasional
CUST_1002,1,One-time
CUST_1003,3,Occasional
CUST_1004,3,Occasional
CUST_1005,2,Occasional
CUST_1006,2,Occasional
CUST_1007,1,One-time
CUST_1008,5,Occasional
CUST_1009,4,Occasional
CUST_1010,4,Occasional
CUST_1011,4,Occasional
CUST_1013,3,Occasional
CUST_1014,1,One-time
CUST_1015,1,One-time
CUST_1016,4,Occasional
CUST_1017,2,Occasional
CUST_1018,1,One-time
CUST_1019,4,Occasional
CUST_1020,3,Occasional
CUST_1022,2,Occasional
CUST_1023,4,Occasional
CUST_1024,1,One-time
CUST_1025,4,Occasional
CUST_1026,1,One-time
CUST_1027,2,Occasional
CUST_1028,1,One-time
CUST_1029,1,One-time
CUST_1031,2,Occasional
CUST_1032,1,One-time
CUST_1033,1,One-time
CUST_1034,4,Occasional
CUST_1035,3,Occasional
CUST_1036,3,Occasional
CUST_1037,1,One-time
CUST_1040,2,Occasional
CUST_1042,2,Occasional
CUST_1043,2,Occasional
CUST_1044,4,Occasional
CUST_1045,2,Occasional
CUST_1046,4,Occasional
CUST_1047,2,Occasional
CUST_1049,3,Occasional
CUST_1050,7,Frequent
CUST_1051,2,Occasional
CUST_1052,2,Occasional
CUST_1053,2,Occasional
CUST_1054,4,Occasional
CUST_1055,2,Occasional
CUST_1056,2,Occasional
CUST_1057,2,Occasional
CUST_1058,3,Occasional
CUST_1059,1,One-time
CUST_1060,4,Occasional
CUST_1062,2,Occasional
CUST_1063,2,Occasional
CUST_1065,1,One-time
CUST_1066,1,One-time
CUST_1067,3,Occasional
CUST_1068,2,Occasional
CUST_1070,5,Occasional
CUST_1071,1,One-time
CUST_1072,1,One-time
CUST_1074,1,One-time
CUST_1075,1,One-time
CUST_1076,6,Frequent
CUST_1077,2,Occasional
CUST_1079,1,One-time
CUST_1080,2,Occasional
CUST_1081,3,Occasional
CUST_1082,4,Occasional
CUST_1083,2,Occasional
CUST_1084,3,Occasional
CUST_1085,3,Occasional
CUST_1086,3,Occasional
CUST_1087,2,Occasional
CUST_1088,1,One-time
CUST_1089,2,Occasional
CUST_1090,1,One-time
CUST_1091,4,Occasional
CUST_1092,3,Occasional
CUST_1093,1,One-time
CUST_1094,1,One-time
CUST_1095,4,Occasional
CUST_1096,4,Occasional
CUST_1097,1,One-time
CUST_1099,1,One-time
CUST_1100,5,Occasional
CUST_1102,3,Occasional
CUST_1103,2,Occasional
CUST_1104,6,Frequent
CUST_1105,2,Occasional
CUST_1106,4,Occasional
CUST_1107,3,Occasional
CUST_1108,4,Occasional
CUST_1109,1,One-time
CUST_1110,3,Occasional
CUST_1111,2,Occasional
CUST_1112,2,Occasional
CUST_1113,2,Occasional
CUST_1114,1,One-time
CUST_1116,4,Occasional
CUST_1117,3,Occasional
CUST_1118,5,Occasional
CUST_1119,2,Occasional
CUST_1120,3,Occasional
CUST_1121,4,Occasional
CUST_1124,4,Occasional
CUST_1125,2,Occasional
CUST_1126,1,One-time
CUST_1127,1,One-time
CUST_1128,2,Occasional
CUST_1129,5,Occasional
CUST_1130,5,Occasional
CUST_1131,2,Occasional
CUST_1132,4,Occasional
CUST_1133,2,Occasional
CUST_1134,1,One-time
CUST_1135,1,One-time
CUST_1136,3,Occasional
CUST_1137,2,Occasional
CUST_1138,8,Frequent
CUST_1139,4,Occasional
CUST_1142,1,One-time
CUST_1143,2,Occasional
CUST_1144,1,One-time
CUST_1145,5,Occasional
CUST_1146,1,One-time
CUST_1147,1,One-time
CUST_1149,4,Occasional
CUST_1150,2,Occasional
CUST_1151,4,Occasional
CUST_1152,4,Occasional
CUST_1153,3,Occasional
CUST_1154,1,One-time
CUST_1155,2,Occasional
CUST_1156,1,One-time
CUST_1157,5,Occasional
CUST_1158,4,Occasional
CUST_1159,5,Occasional
CUST_1160,1,One-time
CUST_1161,3,Occasional
CUST_1162,4,Occasional
CUST_1163,2,Occasional
CUST_1164,1,One-time
CUST_1166,3,Occasional
CUST_1167,2,Occasional
CUST_1168,2,Occasional
CUST_1169,2,Occasional
CUST_1170,4,Occasional
CUST_1171,1,One-time
CUST_1172,2,Occasional
CUST_1173,5,Occasional
CUST_1174,4,Occasional
CUST_1175,4,Occasional
CUST_1176,2,Occasional
CUST_1178,3,Occasional
CUST_1179,1,One-time
CUST_1180,2,Occasional
CUST_1181,2,Occasional
CUST_1182,1,One-time
CUST_1183,4,Occasional
CUST_1185,2,Occasional
CUST_1186,2,Occasional
CUST_1187,2,Occasional
CUST_1188,3,Occasional
CUST_1189,2,Occasional
CUST_1190,4,Occasional
CUST_1191,2,Occasional
CUST_1192,1,One-time
CUST_1193,3,Occasional
CUST_1194,4,Occasional
CUST_1195,2,Occasional
CUST_1196,3,Occasional
CUST_1197,2,Occasional
CUST_1198,1,One-time
CUST_1199,4,Occasional
CUST_1200,3,Occasional
CUST_1201,3,Occasional
CUST_1202,6,Frequent
CUST_1203,2,Occasional
CUST_1204,2,Occasional
CUST_1205,1,One-time
CUST_1206,3,Occasional
CUST_1207,2,Occasional
CUST_1208,3,Occasional
CUST_1209,2,Occasional
CUST_1210,1,One-time
CUST_1211,2,Occasional
CUST_1212,3,Occasional
CUST_1213,3,Occasional
CUST_1214,2,Occasional
CUST_1215,2,Occasional
CUST_1216,1,One-time
CUST_1217,3,Occasional
CUST_1219,1,One-time
CUST_1220,1,One-time
CUST_1221,2,Occasional
CUST_1222,3,Occasional
CUST_1223,5,Occasional
CUST_1224,1,One-time
CUST_1225,4,Occasional
CUST_1227,2,Occasional
CUST_1228,4,Occasional
CUST_1229,4,Occasional
CUST_1230,2,Occasional
CUST_1231,4,Occasional
CUST_1232,5,Occasional
CUST_1233,1,One-time
CUST_1234,1,One-time
CUST_1235,5,Occasional
CUST_1237,1,One-time
CUST_1238,2,Occasional
CUST_1240,3,Occasional
CUST_1241,3,Occasional
CUST_1243,2,Occasional
CUST_1244,6,Frequent
