Booking_ID,Booking_Status,Booking_Value,Customer_ID,Driver_ID,Pickup_Location,Drop_Location,Ride_Distance(km),Ride_Time(min),Date,Time,Vehicle_Type,Vehicle_Image,Payment_Method,Customer_Rating,Driver_Rating,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Total_Bookings,Canceled_Bookings,Canceled_Percentage,V_TAT,C_TAT
RAP20250700001,Completed,170.39,CUST_2824,DR_902,Pune,Delhi,2.74,42,2025-02-07,09:43:00,Bike,rapido_bike.png,UPI,4.0,4.3,0.0,0.0,0.0,None,998.0,122.0,12.22,19.0,27.0
RAP20250700002,Incomplete,131.04,CUST_1409,DR_915,Chennai,Hyderabad,22.15,20,2025-09-07,17:34:00,Auto,rapido_bike.png,Cash,3.3,4.9,0.0,0.0,1.0,Driver delayed,986.0,119.0,12.07,25.0,12.0
RAP20250700003,Completed,242.19,CUST_5506,DR_938,Delhi,Bengaluru,11.95,46,2025-07-13,23:54:00,Bike,rapido_auto.png,Card,4.1,4.7,0.0,0.0,0.0,None,972.0,114.0,11.73,18.0,25.0
RAP20250700004,Completed,78.18,CUST_5012,DR_213,Pune,Hyderabad,9.08,24,2025-07-27,17:41:00,Bike,rapido_bike.png,Wallet,3.2,4.0,0.0,0.0,0.0,None,961.0,112.0,11.65,11.0,6.0
RAP20250700005,Completed,159.33,CUST_4657,DR_783,Chennai,Bengaluru,22.97,40,2025-07-22,22:52:00,Bike,rapido_bike.png,Cash,3.2,3.0,0.0,0.0,0.0,None,963.0,115.0,11.94,22.0,25.0
RAP20250700006,Completed,184.05,CUST_3286,DR_889,Bengaluru,Delhi,7.42,35,2025-07-25,17:01:00,Bike,rapido_bike.png,UPI,3.1,4.3,0.0,0.0,0.0,None,964.0,134.0,13.9,11.0,38.0
RAP20250700007,Completed,211.62,CUST_2679,DR_867,Hyderabad,Delhi,24.3,59,2025-08-07,09:38:00,Bike,rapido_bike.png,UPI,4.9,4.7,0.0,0.0,0.0,None,929.0,118.0,12.7,15.0,9.0
RAP20250700008,Cancelled,119.53,CUST_9935,DR_156,Bengaluru,Hyderabad,2.17,58,2025-07-18,15:02:00,Bike,rapido_bike.png,Wallet,3.8,3.6,0.0,1.0,0.0,None,977.0,117.0,11.98,20.0,16.0
RAP20250700009,Completed,181.12,CUST_2424,DR_185,Bengaluru,Bengaluru,17.24,51,2025-07-17,08:26:00,Auto,rapido_auto.png,UPI,4.5,4.6,0.0,0.0,0.0,None,994.0,133.0,13.38,14.0,17.0
RAP20250700010,Completed,96.7,CUST_7912,DR_937,Chennai,Pune,2.9,33,2025-07-24,08:35:00,Bike,rapido_auto.png,Cash,4.9,3.4,0.0,0.0,0.0,None,922.0,108.0,11.71,9.0,10.0
RAP20250700011,Completed,125.8,CUST_1520,DR_434,Pune,Pune,3.64,5,2025-07-13,22:21:00,Auto,rapido_bike.png,UPI,3.5,3.1,0.0,0.0,0.0,None,972.0,114.0,11.73,29.0,34.0
RAP20250700012,Incomplete,227.04,CUST_1488,DR_534,Delhi,Chennai,24.08,47,2025-12-07,10:22:00,Auto,rapido_bike.png,Cash,3.6,3.1,0.0,0.0,1.0,Network issue,1006.0,117.0,11.63,17.0,35.0
RAP20250700013,Cancelled,238.98,CUST_2535,DR_175,Pune,Hyderabad,23.13,24,2025-07-24,03:43:00,Bike,rapido_bike.png,Wallet,4.8,5.0,0.0,1.0,0.0,None,922.0,108.0,11.71,27.0,36.0
RAP20250700014,Completed,188.14,CUST_4582,DR_525,Chennai,Delhi,21.33,46,2025-07-26,12:36:00,Bike,rapido_auto.png,UPI,3.7,4.7,0.0,0.0,0.0,None,1009.0,133.0,13.18,9.0,30.0
RAP20250700015,Completed,112.36,CUST_4811,DR_172,Chennai,Hyderabad,17.46,31,2025-07-20,23:13:00,Bike,rapido_bike.png,Cash,4.6,3.2,0.0,0.0,0.0,None,906.0,109.0,12.03,22.0,31.0
RAP20250700016,Completed,210.41,CUST_9279,DR_966,Delhi,Pune,12.47,51,2025-07-24,05:45:00,Bike,rapido_bike.png,Cash,3.3,4.7,0.0,0.0,0.0,None,922.0,108.0,11.71,11.0,9.0
RAP20250700017,Completed,35.69,CUST_1434,DR_699,Bengaluru,Chennai,17.44,7,2025-07-16,09:02:00,Auto,rapido_auto.png,UPI,4.8,4.5,0.0,0.0,0.0,None,935.0,112.0,11.98,9.0,28.0
RAP20250700018,Completed,52.6,CUST_4257,DR_570,Bengaluru,Bengaluru,14.6,36,2025-07-25,10:57:00,Bike,rapido_bike.png,Cash,3.1,3.6,0.0,0.0,0.0,None,964.0,134.0,13.9,19.0,28.0
RAP20250700019,Completed,175.5,CUST_9928,DR_297,Pune,Pune,21.53,21,2025-07-30,20:57:00,Bike,rapido_auto.png,UPI,3.1,3.5,0.0,0.0,0.0,None,950.0,103.0,10.84,6.0,10.0
RAP20250700020,Completed,94.07,CUST_7873,DR_675,Hyderabad,Pune,18.97,11,2025-07-13,14:48:00,Bike,rapido_bike.png,UPI,4.4,3.7,0.0,0.0,0.0,None,972.0,114.0,11.73,17.0,18.0
RAP20250700021,Completed,239.3,CUST_4611,DR_364,Chennai,Hyderabad,17.5,58,2025-07-20,21:50:00,Auto,rapido_auto.png,Cash,4.0,3.9,0.0,0.0,0.0,None,906.0,109.0,12.03,9.0,33.0
